"","Word","AmbiguityType","Length","Meanings","Senses","fSense","famfRes","eDom_biggest","colN","nLet","nSyll","nMeanings","nSenses","OLD","Imageability","ZipfFreq_Subtlex","OLD20","nsyl","coltN","nMeanings_WMD","nSenses_WMD"
"152","hole","Unambiguous",4,"One","Few",1,0.84320411070411,NA,NA,NA,NA,NA,NA,NA,NA,4.76,1,1,16,1,9
"153","hood","Unambiguous",4,"One","Few",1,0.628918396418396,NA,NA,NA,NA,NA,NA,NA,NA,3.95,1.35,1,11,1,6
"154","hook","Polysemy",4,"One","Many",2,-0.0685714285714285,NA,NA,NA,NA,NA,NA,NA,NA,4.21,1.25,1,12,1,19
"155","hop","Hybrid",3,"Many","Many",2,0.512050264550265,83,31,3,1,2,11,1,123,4.31,1,1,18,2,11
"156","host","Homonymy",4,"Many","Few",1,0.198836996336996,75,12,4,1,3,6,1.05,179,4.39,1.3,1,10,3,6
"157","hunt","Unambiguous",4,"One","Few",1,0.0217755392755388,NA,NA,NA,NA,NA,NA,NA,NA,4.69,1.4,1,8,1,8
"158","ill","Polysemy",3,"One","Many",2,0.11,NA,NA,NA,NA,NA,NA,NA,NA,4.59,1.15,1,3,1,11
"159","intent","Homonymy",6,"Many","Few",1,-1.01544871794872,67,3,6,2,2,5,1.8,179,3.85,1.8,2,3,2,5
"160","iron","Polysemy",4,"One","Many",2,0.181428571428571,NA,NA,NA,NA,NA,NA,NA,NA,4.52,1.75,2,2,1,16
"161","jerk","Homonymy",4,"Many","Few",1,0.341694139194138,82,5,4,1,2,6,1.55,70,3.55,1.8,1,2,2,6
"162","join","Unambiguous",4,"One","Few",1,0.164632682132681,NA,NA,NA,NA,NA,NA,NA,NA,5.1,1.75,1,3,1,8
"163","joint","Polysemy",5,"One","Many",2,-0.282857142857142,NA,NA,NA,NA,NA,NA,NA,NA,4.3,1.75,1,3,1,13
"164","junk","Homonymy",4,"Many","Few",1,0.734551282051282,97,11,4,1,2,6,1.3,179,3.97,1.6,1,7,2,6
"165","key","Homonymy",3,"Many","Few",1,1.27026556776557,86,12,3,1,2,9,1.15,171,5.07,1.65,1,6,2,9
"166","kitty","Homonymy",5,"Many","Few",1,1.41312271062271,87,7,5,2,2,4,1.65,179,4.02,1.8,2,4,2,4
"167","knot","Hybrid",4,"Many","Many",2,0.690621693121693,98,6,4,1,2,15,1.6,179,3.74,1.65,1,4,2,15
"168","lame","Unambiguous",4,"One","Few",1,0.271775539275539,NA,NA,NA,NA,NA,NA,NA,NA,3.51,1,1,20,1,4
"169","land","Polysemy",4,"One","Many",2,0.895714285714286,NA,NA,NA,NA,NA,NA,NA,NA,5.18,1.15,1,11,1,11
"170","lash","Hybrid",4,"Many","Many",2,-1.27366402116402,82,19,4,1,2,12,1,179,3.18,1,1,14,2,12
"171","lawn","Homonymy",4,"Many","Few",1,1.05597985347985,97,8,4,1,2,2,1.4,165,3.94,1.55,1,7,2,2
"172","lead","Hybrid",4,"Many","Many",2,0.476335978835979,NA,NA,NA,NA,NA,NA,NA,NA,5.18,1.05,1,14,2,30
"173","lean","Hybrid",4,"Many","Many",2,0.262050264550265,65,17,4,1,2,11,1,66,4.05,1.1,1,12,2,11
"174","lend","Unambiguous",4,"One","Few",1,-0.65679588929589,NA,NA,NA,NA,NA,NA,NA,NA,4.11,1.15,1,13,1,4
"175","lick","Polysemy",4,"One","Many",2,0.895714285714286,NA,NA,NA,NA,NA,NA,NA,NA,3.86,1.05,1,15,1,11
"176","lift","Polysemy",4,"One","Many",2,0.252857142857144,NA,NA,NA,NA,NA,NA,NA,NA,4.75,1.45,1,9,1,12
"177","limb","Homonymy",4,"Many","Few",1,-0.0154487179487184,85,5,4,1,2,4,1.5,146,3.67,1.55,1,5,2,4
"178","limp","Homonymy",4,"Many","Few",1,-0.0154487179487184,62,12,4,1,2,5,1.1,92,3.35,1.35,1,8,2,5
"179","lip","Unambiguous",3,"One","Few",1,0.914632682132681,NA,NA,NA,NA,NA,NA,NA,NA,3.91,1,1,15,1,5
