"","Word","SemD_P1_U","SemD_P1_W","SemD_P2_U","SemD_P2_W","SemD_H13","ContextCount_P1_U","ContextCount_P1_W","ContextCount_P2_U","ContextCount_P2_W","ContextCount_H13","Freq"
"21639","matches",1.1731377341655,1.65647163548988,NA,NA,1.428,1990,1990,NA,NA,2015,4.47
"21640","matching",1.7409083295612,2.33602842725432,1.66771014366047,2.59508834377599,1.821,1085,1085,761,761,1107,4.14
"21641","matchplay",0.621222336201637,0.865177796053906,0.570750676195981,0.795376474263407,0.79,46,46,44,44,48,2.78
"21642","matchstick",NA,NA,1.31192114337484,1.63711955484782,NA,NA,NA,72,72,NA,2.71
"21643","mate",1.48169298585005,1.78537849674963,1.4538358960503,2.03375622268346,1.596,1216,1216,1788,1788,1236,4.28
"21644","mated",1.02439728583588,1.98287365053957,NA,NA,1.007,66,66,NA,NA,68,2.95
"21645","mater",1.52450183530851,1.96360861898969,1.53747365580774,2.29358408477948,1.68,59,59,60,60,60,2.71
"21646","material",1.86533651269696,2.40815979117985,1.92304484512392,2.73580149401901,1.949,7917,7917,9017,9017,8112,5.13
"21647","materialise",1.93261294186019,2.3288937468671,1.8168213636977,2.47378244750304,2.11,177,177,288,288,180,3.27
"21648","materialised",1.79966222804892,2.11543759561074,NA,NA,1.97,96,96,NA,NA,101,3.04
"21649","materialism",1.08320838056137,1.61466906813693,1.17592186210561,1.94550775947241,1.187,194,194,172,172,200,3.41
"21650","materialist",0.940147982021866,1.49147694663378,1.02885759475562,1.759649754164,1.034,108,108,109,109,111,3.19
"21651","materialistic",1.23715064615457,1.76067019511951,1.2834856281486,2.00166716766104,1.355,96,96,93,93,100,3.07
"21652","materiality",1.17357442702674,2.16783910093414,1.18102073750662,2.37288748241501,1.161,49,49,48,48,49,2.83
"21653","materialize",1.85724059111418,2.37736536216417,1.8261399506101,2.57994347987428,1.909,73,73,127,127,73,2.9
"21654","materially",1.73552091611205,2.36623663073125,1.69397250816031,2.64291094884361,1.792,191,191,185,185,192,3.34
"21655","materials",1.67196806517654,2.3879889598744,NA,NA,1.707,3989,3989,NA,NA,4086,4.83
"21656","maternal",1.21893800392969,1.98398446153701,1.23554910539495,2.13644005610672,1.187,373,373,345,345,376,3.86
"21657","maternity",1.31580158925645,2.00073983574754,1.28664494877243,2.08549384704648,1.255,414,414,391,391,421,3.85
"21658","mates",1.4168691329455,1.70599200435911,NA,NA,1.576,817,817,NA,NA,825,3.94
"21659","matey",0.496137324164528,0.881390757005325,0.566125958569821,1.31786395038962,0.542,74,74,56,56,75,3.39
"21660","mathematical",1.35001949305972,2.10197945262807,1.41835341963724,2.3772342801681,1.38,778,778,701,701,791,4.1
"21661","mathematically",1.39392497093995,2.17836030007556,1.47167433751323,2.54412630268238,1.429,153,153,148,148,155,3.24
"21662","mathematician",1.10131825612216,1.7250708206569,1.18428628252701,2.09256141932538,1.216,130,130,212,212,131,3.24
"21663","mathematicians",1.07886903641489,1.77343534756845,NA,NA,1.144,127,127,NA,NA,128,3.24
"21664","mathematics",1.2229231507442,1.98016338740765,1.27915462382848,2.15961258000913,1.22,887,887,769,769,909,4.29
"21665","mather",1.354008161186,1.90326458571123,1.32790754055303,2.13351451440195,1.44,43,43,46,46,44,2.76
"21666","matheson",1.17503431908594,1.84626260896711,NA,NA,1.31,41,41,NA,NA,44,2.91
"21667","mathew",NA,NA,1.61017361437696,2.12024513990078,NA,NA,NA,42,42,NA,2.75
"21668","maths",1.29125924933433,1.92498904189949,1.30303896170237,2.01063189756197,1.274,370,370,354,354,377,3.99
"21669","matilda",0.612612779940148,1.32471394730047,0.722273969511746,1.76489844026242,0.86,136,136,103,103,139,3.83
"21670","matildas",0.366112986474791,0.894484851369837,NA,NA,0.57,47,47,NA,NA,47,1
"21671","matin",1.23027281484329,1.5496019630611,1.10942584957383,1.70625037434154,1.28,50,50,49,49,50,2.28
"21672","matinee",1.04147456819691,1.4086772479265,1.02535172076249,1.54975579789685,1.103,58,58,70,70,61,2.93
"21673","mating",0.922421266086468,1.80733630704268,1.06852849553092,2.10922718571606,0.935,266,266,207,207,271,3.65
"21674","matisse",0.525097470053891,0.987430130846486,0.576720737522864,1.11672091296602,0.69,118,118,112,112,120,3.44
"21675","matrices",0.62046585574065,1.52912372027467,NA,NA,0.713,96,96,NA,NA,96,3.39
"21676","matriculate",NA,NA,0.460639943829631,0.878551537897856,NA,NA,NA,44,44,NA,1.6
"21677","matriculated",0.513090531357757,0.946473736219628,NA,NA,0.657,43,43,NA,NA,43,2.74
"21678","matriculation",1.01026298628134,1.76901218649981,1.03898361642434,1.85762297835214,1.054,42,42,40,40,43,2.76
"21679","matrimonial",1.06829585696701,1.98250759640394,1.18840546560751,2.25992681964172,1.001,176,176,143,143,177,3.52
"21680","matrix",1.18612268346307,2.36359911510116,1.38475933978507,2.664211486947,1.36,558,558,499,499,568,4.15
"21681","matron",1.28561901742093,1.46280745775859,1.22536737061664,1.67651378964111,1.274,213,213,217,217,217,3.6
"21682","matrons",1.37977926640271,1.20588738878603,NA,NA,1.457,48,48,NA,NA,49,2.65
"21683","mats",1.50533215731502,2.04504210667251,NA,NA,1.583,170,170,NA,NA,172,3.44
"21684","matt",1.31919063583642,1.89279365825424,1.33572194249628,2.1361649229474,1.43,530,530,454,454,539,4.03
"21685","matted",1.27828186329607,1.54398505255305,NA,NA,1.427,89,89,NA,NA,90,3.03
"21686","matter",1.93959097515306,2.20081806092808,1.94718798085448,2.6327970864145,2.136,14525,14525,15965,15965,14756,5.3
"21687","mattered",1.54546717186201,1.58201700450757,NA,NA,1.747,542,542,NA,NA,557,3.81
"21688","matters",1.95736503441776,2.36118481635933,NA,NA,2.033,6386,6386,NA,NA,6509,4.94
"21689","matthew",1.31328246907599,1.84415624581761,1.41203501479121,2.12886344907264,1.57,986,986,870,870,998,4.41
"21690","matthews",1.49178078354166,2.0122682367551,1.47082887622815,2.1412760910953,1.69,393,393,251,251,405,3.57
"21691","matthey",0.910164837130634,1.752625059805,0.91107183180515,1.77416387147384,0.94,56,56,43,43,57,3.33
"21692","matthias",1.33581370353479,2.07291178324873,1.29984529576647,2.12429839381346,1.39,45,45,42,42,46,2.89
"21693","matting",1.33680917658029,1.82008344739328,1.27019750528599,1.88400954600339,1.363,74,74,73,73,75,3.04
"21694","mattress",1.33145928192811,1.43567894950233,1.29154373814904,1.70223180838428,1.356,308,308,349,349,309,3.7
"21695","mattresses",1.32399275717031,1.70217563654903,NA,NA,1.445,94,94,NA,NA,95,3.17
"21696","maturation",1.37832786765358,2.45441007807264,1.41917620298569,2.65469328334475,1.375,121,121,115,115,126,3.24
"21697","mature",1.83931987817266,2.41925793839176,1.84040922377937,2.72058446215588,1.9,1421,1421,1595,1595,1449,4.28
"21698","matured",1.68504258960966,2.3112560576511,NA,NA,1.766,164,164,NA,NA,168,3.28
"21699","matures",1.52949746915631,2.48677559802951,NA,NA,1.444,92,92,NA,NA,92,3.01
"21700","maturing",1.63848481165611,2.53418026430714,1.65973573786433,2.82313226180799,1.648,172,172,88,88,175,3.26
"21701","maturities",0.631972545826718,1.49828470788683,NA,NA,0.574,43,43,NA,NA,45,2.87
"21702","maturity",1.5680811212964,2.46628206252762,1.68150825176432,2.77750683089494,1.571,798,798,741,741,816,4.14
"21703","maud",1.08820944872992,1.77055326231614,1.10426962630263,1.92981245651164,1.2,140,140,112,112,144,3.64
"21704","maude",0.962421039756978,2.05194072591538,1.03244558477046,2.24460724988434,0.98,110,110,93,93,111,3.31
"21705","maudlin",1.23265437755534,1.38896180811173,1.1794202171927,1.66572069903434,1.342,63,63,62,62,64,2.85
"21706","maugham",1.17537435921232,1.5670655172614,1.17142252582555,1.78764518804989,1.35,50,50,49,49,50,2.94
"21707","maul",0.55115291008271,0.994722179661377,1.12269730753112,1.81266450126514,0.577,55,55,122,122,55,2.92
"21708","mauled",1.59413246843911,1.83565141021257,NA,NA,1.755,61,61,NA,NA,61,2.8
"21709","mauling",1.16931012151097,1.4537029506316,NA,NA,1.454,48,48,NA,NA,48,2.72
"21710","maura",0.69149973147224,0.879099702359107,NA,NA,0.77,44,44,NA,NA,46,3.36
"21711","maureen",1.44357248927472,1.71506538381186,1.42556943060012,1.98383740337173,1.56,318,318,274,274,327,3.89
"21712","maurice",1.6373900523533,1.95618990603803,1.56871820998162,2.25466750384426,1.76,537,537,485,485,547,4.02
"21713","mauritania",0.973259033910196,1.54170737974346,0.89155866443703,1.46983909321768,0.893,73,73,71,71,74,3.06
"21714","mauritius",1.46689237438914,2.25393266381665,1.49504614663976,2.38562760370231,1.468,80,80,76,76,81,3.05
"21715","mausoleum",1.2123824086122,1.88679562828381,1.21311014568645,2.02165456488063,1.331,96,96,101,101,99,3.11
"21716","mauve",1.20840139680078,1.61950376835439,1.17593346514984,1.81338301322327,1.276,159,159,154,154,162,3.35
"21717","maverick",1.40175919367032,1.75397674067625,1.33472125799948,1.91676624166944,1.591,133,133,143,143,133,3.18
"21718","mavis",1.3113398859845,1.46479170070003,1.19530165088905,1.5349362169726,1.432,77,77,66,66,79,3.39
"21719","maw",1.44252820436445,1.63898235757226,1.41938273131063,1.82591283633804,1.504,43,43,45,45,43,2.79
"21720","max",1.5859726121779,2.19158870060676,1.63571803964669,2.48449252537136,1.81,688,688,652,652,709,4.14
"21721","maxi",1.20475458911999,2.03413845363737,1.17727757896202,2.15771581809656,1.311,45,45,45,45,45,2.74
"21722","maxim",1.33805428367386,1.80921988289383,1.49591104130362,2.30622288477525,1.477,261,261,271,271,268,3.9
"21723","maxima",1.39060096716817,2.47230675446721,NA,NA,1.369,53,53,NA,NA,53,2.84
"21724","maximal",1.40736547433984,2.57910064513465,1.4258095768205,2.5706596993762,1.235,114,114,105,105,114,3.22
"21725","maximilian",1.09487963685903,1.68997792080848,1.10557086840993,2.02695672711142,1.22,50,50,48,48,51,3.08
"21726","maximisation",0.973277758896447,1.59482223832984,1.03884907008098,1.78230955591411,0.934,61,61,54,54,61,3.11
"21727","maximise",1.79294628538348,2.46272387571553,1.77065455579748,2.68272783978822,1.823,399,399,529,529,407,3.69
"21728","maximised",1.39317372632673,2.46048684783432,NA,NA,1.368,65,65,NA,NA,66,2.87
"21729","maximising",1.53913721094494,2.24015985653688,NA,NA,1.524,133,133,NA,NA,134,3.16
"21730","maximize",1.43796531026517,2.20458514152207,1.48467195312738,2.4701109876091,1.385,188,188,281,281,190,3.37
"21731","maxims",1.15126752834712,1.54846023681357,NA,NA,1.296,96,96,NA,NA,98,3.02
"21732","maximum",2.00050659595281,2.6856852102327,2.00424491644116,2.94244581479764,2.003,3491,3491,3255,3255,3570,4.7
"21733","maxine",1.53967465167884,1.93425125959105,NA,NA,1.74,40,40,NA,NA,41,3.25
"21734","maxwell",1.56665102675963,2.05491702948256,1.50514957318513,2.21518040650361,1.66,560,560,552,552,573,4.12
"21735","maxwells",1.23791844277682,1.8190687718463,NA,NA,1.35,124,124,NA,NA,126,2.28
"21736","may",2.14843056058992,2.5138444859397,2.09519211781694,2.76391430514511,2.346,44926,44926,31013,31013,46031,6.11
"21737","maya",1.2820389527114,1.91306012263113,1.29736959047069,1.9953820840525,1.38,56,56,56,56,57,3.1
"21738","maybe",1.52647751751206,1.47169915153914,1.45277823653748,1.89513922848655,1.683,5072,5072,4450,4450,5175,5.02
"21739","mayer",1.58985992195309,2.25844144349962,1.50117829967988,2.44666762892581,1.69,86,86,87,87,89,3.19
"21740","mayfair",1.4639847333154,1.69779245762405,1.35176291445182,1.79670954956615,1.63,123,123,122,122,123,3.19
"21741","mayhem",1.43661784841264,1.78218030607611,1.39700035804865,1.98647222909391,1.61,148,148,144,144,151,3.23
"21742","mayhew",1.12358122971229,1.88560536239275,1.09576554971491,1.91373614457202,1.24,161,161,155,155,164,3.37
"21743","maynard",1.54195430819039,2.30058289139997,1.49454071859476,2.42657105256918,1.64,137,137,130,130,140,3.32
"21744","mayne",0.665374056204431,1.24218325990069,NA,NA,0.68,41,41,NA,NA,41,3.01
"21745","mayo",1.41551843868876,1.98284483551006,1.34124151959884,2.11029813534115,1.53,112,112,107,107,114,3.25
"21746","mayonnaise",0.714731792610427,1.42261826170156,0.728338777667584,1.46715379298315,0.724,110,110,104,104,110,3.31
"21747","mayor",1.54952607546163,1.99404156126718,1.51613936330806,2.14565719461121,1.625,1087,1087,1110,1110,1104,4.35
"21748","mayoress",1.19672962520968,1.59968938412973,1.17483790604173,1.69285787577329,1.28,43,43,44,44,47,2.85
"21749","mayors",1.56364579320039,2.07270125892801,NA,NA,1.615,194,194,NA,NA,197,3.16
"21750","maypole",NA,NA,NA,NA,1.285,NA,NA,NA,NA,40,2.94
"21751","mays",1.56027195612118,2.11549044122969,NA,NA,1.751,92,92,NA,NA,95,2.71
"21752","mazda",0.952386061978941,1.69902084969579,0.849867823571446,1.6836297235643,1,52,52,51,51,52,3.05
"21753","maze",1.57847047670287,1.90375468615612,1.50525770699666,2.08641565186678,1.725,356,356,369,369,360,3.67
"21754","mazes",1.16329942635719,1.76779429899405,NA,NA,1.265,40,40,NA,NA,41,2.71
"21755","mb",0.689435783439353,1.11640198609457,0.650545084653725,1.0886829099339,0.71,488,488,429,429,503,3.16
"21756","mba",1.01567883690158,1.74430181006876,0.994974890224218,1.74882840185572,1.02,91,91,86,86,93,3.23
"21757","mbe",1.37195051974038,1.75921354372873,1.31047604290458,1.82557997624744,1.45,91,91,97,97,93,3.06
"21758","mc",1.28215966765922,2.04057662747018,1.25818651360417,2.24438144185613,1.359,225,225,254,254,227,3.47
"21759","mca",1.06305518566808,2.10153835016818,1.08243530947794,2.23293782855689,1.18,50,50,48,48,50,2.85
"21760","mcallister",0.6593400064263,1.36398050011551,0.658415246828343,1.3818713466586,0.77,208,208,167,167,212,3.86
"21761","mcallisters",0.403281058351117,1.0035558468751,NA,NA,0.52,47,47,NA,NA,47,1.47
"21762","mcalpine",1.4110971677893,2.10699053221089,1.40622862186017,2.15174529535854,1.53,57,57,61,61,58,2.98
"21763","mcbride",0.92367326030055,1.49362095870861,0.857178557101166,1.52670822349017,1.06,97,97,89,89,99,3.3
"21764","mcc",0.771212102937102,1.56396521026964,0.725926851386134,1.54347082305766,0.9,131,131,118,118,134,3.39
"21765","mccabe",1.52880986389056,1.99976321754749,1.4561069028597,2.12516197400525,1.62,59,59,64,64,60,2.96
"21766","mccall",0.902321162270386,1.31476075341259,0.809277769928062,1.31711704131865,1.13,92,92,89,89,93,3.08
"21767","mccallum",1.26583560454697,1.99220605643887,NA,NA,1.33,43,43,NA,NA,49,2.84
"21768","mccann",1.08991069950711,1.57087957831347,0.928626584398359,1.56793926266901,1.21,107,107,97,97,108,3.24
"21769","mccarthy",1.43080682499463,1.86119595885637,1.36936885438878,2.03506304873483,1.59,205,205,211,211,210,3.56
"21770","mccartney",1.25564799828051,1.74212128280465,1.21258409342932,1.80236887891304,1.41,128,128,132,132,130,3.29
"21771","mcclelland",1.12103691934512,2.3525622598548,1.08935586500039,2.43164408957079,1.21,41,41,45,45,42,2.92
"21772","mccoist",0.341989808206402,0.490369024787654,0.330122741591473,0.470646562878482,0.48,75,75,70,70,75,3.2
"21773","mcconnell",1.02569977860302,1.66572865851709,0.978091799926985,1.75741890060919,1.16,59,59,63,63,61,2.95
"21774","mccormack",1.47260459623991,2.02515934675952,1.35413630616652,1.9480864256914,1.55,59,59,60,60,61,2.98
"21775","mccormick",1.56132256827617,2.27161357727215,1.54626287713993,2.41686091939215,1.63,61,61,62,62,65,2.96
"21776","mccoy",NA,NA,1.23036195385878,1.79460243038641,1.41,NA,NA,45,45,48,2.82
"21777","mcculloch",0.99082547485605,1.43107466328451,0.965800644296566,1.57544825446555,1.06,52,52,46,46,55,2.9
"21778","mccullough",0.857684144553379,1.50289808955213,0.780693312615705,1.54265021704633,1,55,55,54,54,57,2.93
"21779","mcdermott",0.899874297432653,1.41367307743807,0.874270598256917,1.52731894084178,1.11,91,91,84,84,96,3.2
"21780","mcdonald",1.34431214720401,1.83247338627076,1.34421477700351,1.95694598482451,1.55,217,217,285,285,221,3.69
"21781","mcdonalds",1.49994945092347,1.89946473124226,1.5304311869777,2.02474314433355,1.62,139,139,44,44,143,2.75
"21782","mcdonnell",1.22527191730192,1.99074562030757,1.21056237777781,2.05221066777175,1.31,78,78,71,71,83,3.06
"21783","mcdougall",1.31119152853671,2.12058760304099,1.31515136531017,2.23966865517776,1.37,84,84,78,78,86,3.14
"21784","mcdowell",1.28305784432991,1.92527493795225,1.23793432540232,2.02770977642933,1.4,50,50,47,47,50,2.9
"21785","mcenroe",0.766529931201045,1.11522796535884,0.727061294826863,1.11516376062774,0.87,71,71,69,69,73,3.2
"21786","mcevoy",0.948063429456608,1.50610969324678,0.90136435230094,1.47293416139909,1.09,41,41,40,40,42,2.96
"21787","mcewan",1.31007226012917,1.80163893795207,1.25790329208067,1.9793196011314,1.42,74,74,75,75,75,3.1
"21788","mcfarlane",0.968562900789156,1.38294147495473,1.04061349948733,1.70001169337692,0.98,74,74,63,63,76,3.12
"21789","mcgee",1.24030405426937,2.14991026414422,1.22261078758085,2.39904426896445,1.31,52,52,49,49,55,2.98
"21790","mcgeechan",0.382706455760933,0.610503531845131,NA,NA,0.41,45,45,NA,NA,45,2.93
"21791","mcgill",1.43802310834985,1.80683369471207,1.41621647247096,2.02397857403747,1.59,43,43,43,43,44,2.8
"21792","mcgowan",1.10106023546137,1.55958563637649,1.18420865573831,1.88997749214617,1.28,49,49,45,45,51,3.1
"21793","mcgrath",1.02960786012098,1.41210587984134,0.915698062407998,1.42109219918072,1.25,126,126,124,124,130,3.32
"21794","mcgregor",1.61252388695397,2.25980766804111,1.52481042529957,2.37308814132694,1.67,112,112,110,110,113,3.31
"21795","mcguinness",0.975180347385684,1.60442024082999,0.875694885527507,1.65067999609875,1.1,53,53,46,46,55,3.04
"21796","mcguire",1.4726255656265,2.00515873250412,1.39608883199401,2.08824162752827,1.63,54,54,48,48,56,2.9
"21797","mchugh",1.19284928296431,1.96265811051773,1.02016625576292,1.86110660708879,1.23,40,40,40,40,41,2.8
"21798","mci",0.815087091323255,1.6056485251184,0.827890959680783,1.62305286951184,0.79,53,53,48,48,59,3.07
"21799","mcintosh",1.45807031264677,2.01569910987638,1.34299950955879,2.08356320025278,1.64,79,79,74,74,79,3.14
"21800","mcintyre",1.35575218298019,1.95998144305649,1.24230245379969,1.99052849051841,1.51,53,53,53,53,55,2.94
"21801","mckay",1.44333011996607,1.9742009496124,1.3386961258,2.00493068359076,1.61,105,105,107,107,109,3.19
"21802","mckee",1.34685630726331,1.98520945977044,1.26447750573208,2.12417960445786,1.39,58,58,55,55,60,2.9
"21803","mckenna",1.32223603169613,1.90730743179604,1.26985586414667,2.09987090598147,1.46,106,106,105,105,108,3.23
"21804","mckenzie",1.3664823245359,1.78521434942156,1.25322582328009,1.82679562985872,1.56,148,148,143,143,149,3.4
"21805","mckeown",1.04078189737269,1.66562924812724,0.919095339416234,1.56899011815042,1.07,68,68,61,61,70,3
"21806","mckinsey",NA,NA,NA,NA,0.87,NA,NA,NA,NA,40,2.84
"21807","mclaren",0.842376791995461,1.50972394954123,0.92450218656781,1.74597053667288,0.89,194,194,175,175,198,3.66
"21808","mclaughlin",1.30276034092771,1.95654473026971,1.18739373499074,1.89833266285085,1.42,90,90,89,89,92,3.09
"21809","mclean",1.30669507250307,1.91945764150814,1.20355407371541,1.98089305996656,1.45,163,163,152,152,165,3.46
"21810","mcleish",0.880362463461324,1.447756620528,0.783694308512251,1.49224966921989,0.95,87,87,68,68,90,3.59
"21811","mcleod",1.37111361438707,1.82784421590314,1.41088986402373,1.99297280707905,1.54,85,85,84,84,88,3.15
"21812","mcloughlin",1.10580903897036,1.83079092488604,1.020001269933,1.89673779418716,1.22,84,84,80,80,84,3.08
"21813","mcmahon",1.05258137260998,1.79752326135995,0.968953854008829,1.84250944936394,1.31,108,108,98,98,111,3.34
"21814","mcmanaman",0.387240163109942,0.541072882254441,NA,NA,0.49,40,40,NA,NA,40,2.78
"21815","mcmanus",1.13499838666996,1.76865421298456,0.995243468846109,1.77026987542467,1.37,70,70,68,68,71,3.03
"21816","mcmaster",1.32620685157688,1.93582384434421,1.16337181191177,2.0090006562945,1.41,47,47,46,46,47,2.8
"21817","mcmillan",1.33616166697488,1.83244997320769,1.2008502528101,1.86685328158315,1.5,92,92,95,95,94,3.17
"21818","mcnab",0.947227898217902,1.36630811709259,0.975875912911937,1.52548384272029,1.04,46,46,40,40,47,3.14
"21819","mcnally",1.21760450835904,1.79918240652071,1.13554759742422,1.75646562375893,1.4,56,56,53,53,57,2.94
"21820","mcnamara",1.32252357566103,2.07476734755103,1.28825826454672,2.17093356883166,1.41,83,83,84,84,83,3.1
"21821","mcneill",1.2872753120004,1.91091756350772,1.16373619405693,1.96254310761894,1.44,56,56,51,51,56,3.02
"21822","mcpherson",1.20238784250843,1.99836389739861,1.06090026677029,1.99295206413898,1.3,84,84,80,80,84,3.1
"21823","mcqueen",1.08394758297852,1.61901699631118,1.06250063024341,2.04514919296659,1.19,50,50,49,49,52,3.12
"21824","mcrae",NA,NA,NA,NA,1.08,NA,NA,NA,NA,40,2.9
"21825","mcs",0.789110593328027,1.57249639271662,NA,NA,0.89,49,49,NA,NA,49,2.44
"21826","mcwhirter",0.866804129765031,1.19441479616998,NA,NA,0.86,40,40,NA,NA,40,2.93
"21827","md",1.44538117982002,2.22761888020976,1.42075604911345,2.31588052879738,1.562,186,186,194,194,191,3.38
"21828","me",1.67575612282944,1.60264339679364,NA,NA,1.854,28894,28894,NA,NA,29554,6.14
"21829","meacher",0.82872806961582,1.3034405329101,0.836726996866414,1.35538343510295,0.83,48,48,43,43,49,2.95
"21830","mead",1.50333200357537,2.10141452532929,1.43916229363838,2.39964028146108,1.549,167,167,169,169,169,3.44
"21831","meade",1.42303333094797,2.12775753665116,1.30946335757635,2.26660193189822,1.45,54,54,54,54,55,2.82
"21832","meadow",1.42895759159049,1.89387332406294,1.36744026316425,2.09530920564489,1.537,442,442,665,665,454,3.82
"21833","meadows",1.38768996988347,1.95668361563165,1.48374948607137,2.35744673950707,1.517,402,402,90,90,407,3.7
"21834","meads",1.49762745353899,1.919674217381,NA,NA,1.574,47,47,NA,NA,47,2.53
"21835","meagre",1.78331495352791,1.99659817487379,1.73280795327441,2.27222945607945,1.504,384,384,380,380,386,3.62
"21836","meal",1.53572564771565,1.85433078713343,1.55156045321587,2.19869905633848,1.575,2680,2680,3349,3349,2725,4.63
"21837","meals",1.43847546155236,2.09731291245732,NA,NA,1.504,1494,1494,NA,NA,1529,4.38
"21838","mealtime",NA,NA,1.37711659356104,2.07942061245622,NA,NA,NA,67,67,NA,2.23
"21839","mealtimes",1.37277904462302,1.77695232669195,NA,NA,1.439,64,64,NA,NA,66,2.88
"21840","mean",1.82861252885697,2.08790884815622,1.94127098729085,2.59040700260699,1.985,13591,13591,21758,21758,13810,5.64
"21841","meander",1.04214800303477,2.01087509244419,1.2911747503913,2.0605600149101,1.071,61,61,196,196,61,3.01
"21842","meandering",1.31930777582149,1.83863406955606,1.25559446034796,2.14674501207473,1.506,101,101,56,56,102,3.05
"21843","meanders",1.04745634018511,1.83090253984916,NA,NA,1.23,48,48,NA,NA,50,2.9
"21844","meanest",1.64412677794002,1.77184705231703,NA,NA,1.818,50,50,NA,NA,50,2.73
"21845","meaning",1.65024472510473,2.21823292485483,1.69434205514513,2.53606903505036,1.704,4833,4833,3736,3736,4925,4.91
"21846","meaningful",1.7549002593486,2.30377084580828,1.76778916387441,2.59877094700903,1.841,825,825,790,790,837,4
"21847","meaningfully",1.4787849632775,1.97093250178541,1.48043474874478,2.37335839806999,1.571,113,113,116,116,115,3.12
"21848","meaningless",1.75257136932544,2.07731774813845,1.73134976358569,2.41317075091389,1.919,561,561,548,548,570,3.82
"21849","meanings",1.22781506816883,1.85525360929179,NA,NA,1.272,877,877,NA,NA,896,4.16
"21850","meanness",1.56257488566198,1.69934358155812,1.25766301275206,1.66940650364219,1.569,55,55,57,57,55,2.84
"21851","means",2.07332658203412,2.44678566078117,2.02298018334548,2.78336758647005,2.263,17394,17394,8335,8335,17701,5.37
"21852","meant",1.87878623376519,2.05904556844504,NA,NA,2.051,8198,8198,NA,NA,8327,5.05
"21853","meantime",1.90867992380757,2.2042263709381,1.84495639613624,2.48867131306144,2.056,1220,1220,1170,1170,1251,4.16
"21854","meanwhile",1.821843720063,2.21029872144053,1.74005013474283,2.43430257626964,2.029,4091,4091,3751,3751,4163,4.68
"21855","measles",1.20719891625818,2.00013277393921,1.20332025130363,2.10635139298188,1.17,130,130,116,116,136,3.4
"21856","measurable",1.69093428444338,2.42991737475663,1.70415792175647,2.71344775427735,1.719,226,226,217,217,229,3.44
"21857","measure",2.0271929525885,2.52879506980021,2.05081464508402,2.82949274094317,2.1,4605,4605,9241,9241,4676,4.81
"21858","measured",1.8579045174534,2.70214481602948,1.84041827598068,2.81891283079144,1.774,2284,2284,258,258,2316,4.52
"21859","measurement",1.59458946977062,2.48823938608423,1.67749822377888,2.78671476826418,1.506,1003,1003,1414,1414,1011,4.22
"21860","measurements",1.47236743128158,2.46739830280552,NA,NA,1.407,825,825,NA,NA,833,4.14
"21861","measures",1.90223303580295,2.51757039871862,NA,NA,1.933,4649,4649,NA,NA,4720,4.84
"21862","measuring",1.78404743945065,2.55888341904128,1.54027063241035,2.67250958979944,1.76,1113,1113,105,105,1135,4.17
"21863","meat",1.46563502338305,2.02203819168316,1.50605332348446,2.25820912735341,1.513,1988,1988,1881,1881,2021,4.55
"21864","meats",0.952013500777483,1.77671418773505,NA,NA,1.039,139,139,NA,NA,141,3.24
"21865","meaty",1.44037487388498,1.95245137627748,1.43573009811556,2.17033991703978,1.562,66,66,72,72,66,2.95
"21866","mecca",1.5604971121967,2.05190075948385,1.48934485373112,2.18509155868955,1.632,160,160,164,164,165,3.29
"21867","mechanic",1.47373694748927,1.72866988922841,1.62856389470383,2.52015389484304,1.613,211,211,721,721,213,3.49
"21868","mechanical",1.68945840599453,2.31339834107858,1.72710469428882,2.60635642882479,1.763,1439,1439,1331,1331,1471,4.3
"21869","mechanically",1.71726361150472,2.33798968025381,1.75760424509382,2.77772836924784,1.772,213,213,199,199,219,3.42
"21870","mechanics",1.42441817972718,2.21254663333844,NA,NA,1.453,574,574,NA,NA,584,3.94
"21871","mechanisation",1.22775718721768,2.02567423654008,1.21887797089446,2.10114760047274,1.286,80,80,75,75,80,2.96
"21872","mechanised",1.45292391934051,2.13928281837966,1.44699637372617,2.33312480387852,1.549,69,69,66,66,71,2.91
"21873","mechanism",1.87741207647296,2.69462690586113,1.8664459450544,2.85664340406969,1.846,2116,2116,2970,2970,2151,4.46
"21874","mechanisms",1.71424682054873,2.56471942024147,NA,NA,1.716,1510,1510,NA,NA,1536,4.3
"21875","mechanistic",1.24758215728824,1.91799133304792,1.29764852554517,2.19701392293011,1.373,88,88,87,87,88,3.08
"21876","med",1.32281556026513,2.07248600152334,1.28538564487237,2.34710699398686,1.34,86,86,78,78,88,3.04
"21877","medal",1.20341086734413,1.62076976076896,1.23871154196452,1.80492875194408,1.301,750,750,958,958,763,4.05
"21878","medallion",1.38801845148944,2.17019677754104,1.43652046034434,2.45728083494043,0.894,71,71,110,110,72,3.02
"21879","medallions",1.17560084161526,2.10518763399461,NA,NA,1.248,52,52,NA,NA,54,2.84
"21880","medallist",0.813492684676602,1.20985949359267,0.774010911202489,1.16167832600689,0.894,141,141,165,165,142,3.21
"21881","medals",1.35761174845845,1.73732175871099,NA,NA,1.465,383,383,NA,NA,393,3.72
"21882","meddle",1.54364596022737,1.73892998659627,1.557679826597,2.18027129932454,1.746,59,59,109,109,60,2.89
"21883","meddling",1.65453067786818,1.98402839669651,1.58329597326126,2.3837538804809,1.787,93,93,48,48,96,3.02
