,DocID,contextIndex,ContextID
605,BP2,1237,BP2_4
606,BP2,1238,BP2_5
607,BP2,1239,BP2_6
608,BP2,1240,BP2_7
609,BP2,1241,BP2_8
610,BPK,1242,BPK_1
611,BPK,1243,BPK_2
612,BPK,1244,BPK_3
613,BPK,1245,BPK_4
614,BPK,1246,BPK_5
615,BPK,1247,BPK_6
616,BPK,1248,BPK_7
617,BPK,1249,BPK_8
618,BPK,1250,BPK_9
619,BP6,1261,BP6_1
620,BP6,1262,BP6_2
621,BP6,1263,BP6_3
622,BP6,1264,BP6_4
623,BPE,1265,BPE_1
624,BPE,1266,BPE_2
625,BPE,1267,BPE_3
626,BPE,1268,BPE_4
627,BP9,1269,BP9_1
628,BP9,1270,BP9_2
629,BP9,1271,BP9_3
630,BP9,1272,BP9_4
631,BP9,1273,BP9_5
632,BP9,1274,BP9_6
633,BP9,1275,BP9_7
634,BP9,1276,BP9_8
635,BP9,1277,BP9_9
636,BPA,1287,BPA_1
637,BPA,1288,BPA_2
638,BPA,1289,BPA_3
639,BPA,1290,BPA_4
640,BPA,1291,BPA_5
641,BPA,1292,BPA_6
642,BPA,1293,BPA_7
643,BPA,1294,BPA_8
644,BPA,1295,BPA_9
645,BP7,1306,BP7_1
646,BP7,1307,BP7_2
647,BP7,1308,BP7_3
648,BP7,1309,BP7_4
649,BP7,1310,BP7_5
650,BP7,1311,BP7_6
651,BP7,1312,BP7_7
652,BP7,1313,BP7_8
653,BP7,1314,BP7_9
654,BPG,1323,BPG_1
655,BPG,1324,BPG_2
656,BPG,1325,BPG_3
657,BPG,1326,BPG_4
658,BPG,1327,BPG_5
659,BPG,1328,BPG_6
660,BPG,1329,BPG_7
661,BPG,1330,BPG_8
662,BPG,1331,BPG_9
663,BP5,1335,BP5_1
664,BP5,1336,BP5_2
665,BP5,1337,BP5_3
666,BP5,1338,BP5_4
667,BP5,1339,BP5_5
668,BP5,1340,BP5_6
669,BP5,1341,BP5_7
670,BP5,1342,BP5_8
671,BP5,1343,BP5_9
672,BP1,1356,BP1_1
673,BP1,1357,BP1_2
674,BP1,1358,BP1_3
675,BP1,1359,BP1_4
676,BP1,1360,BP1_5
677,BP1,1361,BP1_6
678,BP1,1362,BP1_7
679,BP1,1363,BP1_8
680,BP1,1364,BP1_9
