Word,cosMean,SemD,WordCount,nContexts
bps,0.270194518,1.887929689,154,86
br,0.277909243,1.847314277,1302,604
bra,0.374433824,1.41721733,307,224
brac,0.243468303,2.038194137,111,75
brace,0.282716968,1.82256962,307,229
braced,0.358941487,1.478179411,223,215
bracelet,0.348553861,1.520546484,137,111
bracelets,0.373406673,1.421180386,95,86
braces,0.302530017,1.724849799,165,145
bracing,0.290755133,1.782123432,184,173
bracken,0.302936102,1.722914574,224,184
bracket,0.190511528,2.392049797,342,269
bracketed,0.181494826,2.461999676,60,56
brackets,0.165405397,2.595921782,455,320
brackish,0.299663338,1.738585504,132,70
bracknell,0.242152734,2.046010805,107,85
brad,0.320633283,1.641003904,100,80
bradbury,0.284271042,1.814660955,135,93
bradford,0.22161914,2.173845612,1062,742
bradfords,0.294833689,1.762026711,69,54
bradley,0.223824014,2.159563263,374,264
bradman,0.445142387,1.167661211,60,44
bradshaw,0.257424384,1.957779378,271,179
bradstreet,0.347041836,1.526818503,70,43
brady,0.259132779,1.948236572,399,228
brae,0.26439693,1.91922267,75,55
bragg,0.375113216,1.414602002,342,117
brahms,0.504047947,0.988367119,147,87
braid,0.253153164,1.98191758,162,97
braided,0.284207158,1.814985205,86,73
braille,0.197416336,2.34068672,109,70
brain,0.25341753,1.980411768,4510,2721
brainchild,0.248956168,2.006036337,121,119
brained,0.300429066,1.734903697,65,62
brains,0.283263843,1.819781632,889,731
brainstorming,0.264885604,1.916558659,55,44
braintree,0.329932073,1.599759066,152,81
braithwaite,0.262532274,1.929433304,188,119
brake,0.251061618,1.993886608,524,396
braked,0.369726582,1.435469321,98,82
brakes,0.285329208,1.80930066,489,398
braking,0.300482303,1.734648071,168,126
bramble,0.332417545,1.588931564,100,66
brambles,0.343025967,1.543610305,147,129
brampton,0.283185527,1.820180561,100,57
bran,0.240518719,2.055778916,171,105
branagh,0.389804752,1.359176417,87,48
branch,0.206599114,2.275094029,4886,3034
branched,0.216879086,2.205037155,119,101
branches,0.198802174,2.330594562,2959,2070
branching,0.210974214,2.244861419,311,208
brand,0.230624183,2.116384292,1960,1500
branded,0.2371101,2.076370979,379,344
brandenburg,0.314768106,1.667638729,95,69
branding,0.215540406,2.213969748,124,86
brandishing,0.320750213,1.64047787,138,133
brando,0.503429762,0.990137586,174,76
brandon,0.211944962,2.238238423,163,121
brands,0.24573395,2.024830905,760,457
brandt,0.263074699,1.926455592,111,67
brandy,0.382074325,1.388074783,778,527
branson,0.385201539,1.376314627,573,110
bransons,0.494918365,1.014737518,106,52
braque,0.593962579,0.751556055,219,67
bras,0.288417038,1.793771703,151,103
brash,0.305721889,1.709708246,147,138
brass,0.284062498,1.815719717,1392,1082
brasserie,0.293657772,1.767792272,69,49
brasses,0.392922294,1.347684069,52,42
brat,0.392032334,1.350955445,118,104
bratislava,0.257867593,1.955297616,74,53
braun,0.247840874,2.012513959,92,49
bravado,0.336400628,1.571747695,115,112
brave,0.30304288,1.722406147,1639,1456
braved,0.285960283,1.80611331,77,76
bravely,0.334101739,1.581640602,299,295
braver,0.356013956,1.489994296,50,50
bravery,0.289533439,1.788198115,261,224
bravo,0.193775646,2.367540832,138,92
bravura,0.385079018,1.376773577,51,50
brawl,0.333079472,1.586061654,149,127
bray,0.218424361,2.194794322,166,116
brazen,0.313845154,1.67187516,103,98
brazier,0.258619083,1.951099359,92,79
brazil,0.210062602,2.251108754,1384,871
brazilian,0.219254637,2.18932074,563,378
brazilians,0.366713072,1.447276403,54,48
brazils,0.271127695,1.882955604,206,131
breach,0.20338543,2.29771176,3031,1596
breached,0.192014247,2.380714739,326,294
breaches,0.2004165,2.318926806,411,339
breaching,0.197978137,2.336586978,118,114
bread,0.275179967,1.861552649,3042,2090
breadcrumbs,0.517831341,0.94944581,123,78
breadth,0.195345901,2.355897113,608,517
breadwinner,0.32139083,1.637599329,81,71
break,0.223330683,2.162746621,8874,7362
breakage,0.256441497,1.96329836,189,72
breakaway,0.233947868,2.095741015,165,142
breakdown,0.184913763,2.435075489,1313,1123
breakdowns,0.197637176,2.339073745,132,116
breaker,0.236198612,2.081927609,142,123
breakers,0.23459784,2.091738366,177,158
breakfast,0.312879421,1.676321325,3880,2638
breakfasted,0.411234123,1.281968115,54,54
