Word,SemD_P1_U,SemD_P1_W,SemD_P2_U,SemD_P2_W,SemD_H13,ContextCount_P1_U,ContextCount_P1_W,ContextCount_P2_U,ContextCount_P2_W,ContextCount_H13
achieving,1.884311734,2.4163716,,,1.921,1596,1596,,,1631
achilles,1.295390347,1.718391285,1.203925927,1.934960283,1.531,153,153,142,142,157
aching,1.289866901,1.302774167,1.232843979,1.729330582,1.366,384,384,230,230,390
acid,1.444344413,2.542407238,1.541021149,2.674553749,1.437,1858,1858,1742,1742,1891
acidic,1.290067228,2.395207408,1.348172068,2.583425139,1.278,143,143,137,137,145
acidification,0.677138565,1.509643713,0.738220091,1.634997664,0.666,55,55,50,50,57
acidified,0.775172146,1.756293398,,,0.732,40,40,,,40
acidity,1.048726365,2.170235547,1.084398578,2.251793576,1.045,160,160,148,148,167
acidly,1.33893043,1.226183686,1.252940016,1.87103611,1.315,74,74,73,73,74
acids,1.149482617,2.276922285,,,1.027,430,430,,,439
acklam,0.326107255,0.789169114,0.254608726,0.692418161,0.45,78,78,75,75,79
acknowledge,1.852455583,2.244747396,1.923980702,2.656402027,1.99,1251,1251,3377,3377,1274
acknowledged,1.992998136,2.353105916,1.875570144,2.584562394,2.144,1889,1889,224,224,1920
acknowledgement,1.881370503,2.225399455,1.877829093,2.627848234,2.001,455,455,512,512,474
acknowledgements,1.576575875,2.390734741,,,1.608,78,78,,,87
acknowledges,1.750848762,2.291900832,,,1.906,443,443,,,452
acknowledging,1.927702168,2.359146844,,,2.052,374,374,,,379
acknowledgment,1.702440077,2.48146146,1.732172784,2.676358265,1.691,82,82,89,89,85
acne,1.258269549,1.703904191,1.19278214,1.789244166,1.334,72,72,70,70,73
acolyte,,,1.554971024,2.437751476,,,,50,50,
acorn,1.44377671,2.13400448,1.462325141,2.287595773,1.504,114,114,150,150,118
acorns,1.437456674,1.845717614,,,1.541,53,53,,,53
acoustic,0.82870794,1.621190611,0.912109924,1.850342653,0.96,415,415,431,431,422
acoustics,0.953454639,1.697438479,,,1.1,94,94,,,97
acquaint,1.896805137,2.163054863,1.721761015,2.467175709,1.936,56,56,333,333,56
acquaintance,1.569984113,1.710726308,1.565049103,2.127905745,1.695,520,520,766,766,528
acquaintances,1.538460985,1.58606602,,,1.665,269,269,,,275
acquainted,1.698658123,1.996069131,,,1.835,284,284,,,291
acquiesce,1.641998164,2.247095148,1.738746752,2.672591815,1.708,63,63,137,137,65
acquiesced,1.460131062,2.130426094,,,1.525,59,59,,,61
acquiescence,1.62638144,2.232500984,1.631838948,2.504680795,1.69,157,157,145,145,158
acquire,1.952185637,2.531366784,1.936261633,2.752973825,1.961,1632,1632,4617,4617,1665
acquired,1.889291482,2.46521766,1.704809859,2.835521489,1.994,3179,3179,201,201,3237
acquirer,,,0.925454851,1.763700905,,,,40,40,
acquires,1.681118838,2.529461637,,,1.665,208,208,,,210
acquiring,1.939087214,2.577453596,,,1.934,759,759,,,769
acquisition,1.652680064,2.478435557,1.608253696,2.552976259,1.625,1649,1649,1778,1778,1695
acquisitions,1.31393868,2.082092105,,,1.356,509,509,,,516
acquisitive,1.60784968,2.129013632,1.590461997,2.340215382,1.689,63,63,61,61,64
acquit,1.112020213,1.786314095,1.366073007,2.141984208,1.104,51,51,344,344,51
acquittal,1.104692396,1.827416013,1.185605445,1.965971434,1.084,94,94,98,98,96
acquitted,1.310012355,1.914338339,,,1.3,313,313,,,318
acre,1.359607238,1.85908514,1.408897871,2.069047546,1.51,644,644,1471,1471,656
acreage,1.095247482,1.944983883,1.057374556,2.044454543,1.152,85,85,86,86,88
acres,1.335976526,1.911405915,,,1.461,1134,1134,,,1163
acrid,1.352056618,1.550924653,1.296032913,1.823595864,1.412,110,110,107,107,111
acrimonious,1.802745433,2.214258381,1.733066877,2.363971149,1.918,127,127,121,121,129
acrimony,1.778449155,2.216527277,1.695084857,2.447524071,1.83,74,74,73,73,76
acrobat,,,1.387800741,1.8763875,,,,50,50,
acrobatic,,,1.4165869,2.187537566,,,,64,64,
acronym,1.811259352,2.380485909,1.702665751,2.45262084,1.868,76,76,109,109,79
acropolis,0.869235324,1.602869333,0.799243647,1.656681993,0.849,58,58,53,53,58
across,1.840243332,2.067009299,1.794259141,2.453054014,2.055,15814,15814,13342,13342,16097
