"","id","title","n_words","n_tokens","n_w","n_c","n_s","publication_date","text_type","context","respondent_age","respondent_class","respondent_sex","interaction_type","region","author_age","author_domicile","author_sex","author_type","audience_age","domain","difficulty","medium","publication_place","sampling_type","circulation","audience_sex","availability","mode","derived_type","genre"
"538","AM5","Do It Yourself. Sample containing about 29410 words from a periodical (domain: leisure)",29207,32997,29498,3499,1791,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","leisure","high","periodical","UK_south","unknown","medium","unknown","cleared","written","misc_published","W:instructional"
"539","AM6","Drama as education. Sample containing about 32292 words from a book (domain: social science)",32145,36941,32493,4448,1338,"1985-1993","written_books_periodicals","---","---","---","---","---","---","35-44","UK","male","sole","adult","social_science","high","book","UK_south","middle","medium","mixed","cleared","written","academic","W:ac:polit_law_edu"
"540","AM7","Education management for the 1990s. Sample containing about 28701 words from a book (domain: commerce)",28334,31899,28678,3221,1560,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","mixed","multiple","adult","commerce_finance","high","book","UK_south","beginning","medium","mixed","cleared","written","prose","W:commerce"
"541","AM8","The best future for Britain. Sample containing about 29914 words from a periodical (domain: world affairs)",29745,32830,29971,2859,1860,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","world_affairs","medium","periodical","UK_south","whole","high","mixed","cleared","written","misc_published","W:misc"
"542","AM9","Changing Britain for good. Sample containing about 18091 words from a periodical (domain: world affairs)",17903,19864,18048,1816,1090,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","world_affairs","medium","periodical","UK_south","whole","high","mixed","cleared","written","misc_published","W:misc"
"543","AMA","It's time to get Britain working again. Sample containing about 12579 words from a periodical (domain: world affairs)",12558,13875,12666,1209,784,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","world_affairs","medium","periodical","UK_south","whole","high","mixed","cleared","written","misc_published","W:misc"
"544","AMB","The adventures of Endill Swift. Sample containing about 31307 words from a book (domain: imaginative)",31846,38041,32068,5973,2644,"1985-1993","written_books_periodicals","---","---","---","---","---","---","25-34","UK","male","sole","child","imaginative","medium","book","UK_north","beginning","medium","mixed","cleared","written","fiction","W:fict:prose"
"545","AMC","Enigma variations. Sample containing about 40414 words from a book (domain: world affairs)",40223,46441,40629,5812,1906,"1985-1993","written_books_periodicals","---","---","---","---","---","---","60+","UK","female","sole","adult","world_affairs","medium","book","UK_north","end","medium","mixed","cleared","written","prose","W:biography"
"546","AMD","Enterprise lakes and mountains. Sample containing about 45028 words of miscellanea (domain: leisure)",44919,51716,45278,6438,3005,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","leisure","low","misc_published","unknown","unknown","unknown","mixed","cleared","written","misc_published","W:misc"
"547","AMG","The evolution of human consciousness. Sample containing about 38224 words from a book (domain: applied science)",37831,42458,38334,4124,1800,"1975-1984","written_books_periodicals","---","---","---","---","---","---","unknown","UK","male","sole","adult","applied_science","high","book","UK_south","beginning","low","mixed","cleared","written","academic","W:ac:soc_science"
"548","AMH","A guide to exporting. Sample containing about 15170 words from a periodical (domain: commerce)",15092,16817,15261,1556,730,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","commerce_finance","medium","periodical","UK_north","whole","low","mixed","cleared","written","prose","W:commerce"
"549","AMK","Against a federal Europe. Sample containing about 40342 words from a book (domain: world affairs)",40285,45647,40687,4960,1632,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","UK","male","sole","adult","world_affairs","medium","book","UK_south","end","medium","mixed","cleared","written","prose","W:non_ac:polit_law_edu"
"550","AML","Flora of the Outer Hebrides. Sample containing about 29156 words from a book (domain: applied science)",28732,33819,29006,4813,1426,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","UK","unknown","multiple","adult","applied_science","high","book","UK_south","beginning","low","mixed","cleared","written","academic","W:ac:nat_science"
"551","AMM","Fossils: the key to the past. Sample containing about 39025 words from a book (domain: natural sciences)",38530,43953,38813,5140,1931,"1975-1984","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","male","sole","adult","natural_science","high","book","UK_south","middle","medium","mixed","cleared","written","academic","W:ac:nat_science"
"552","AMN","Foxton: locks and barge life. Sample containing about 19428 words of miscellanea (domain: world affairs)",19209,21447,19427,2020,813,"1975-1984","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","world_affairs","medium","misc_published","UK_midlands","whole","low","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"553","AMR","The Great Central Railway north of Nottingham. Sample containing about 7855 words of miscellanea (domain: world affairs)",7811,8636,7869,767,596,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","world_affairs","medium","misc_published","UK_midlands","whole","low","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"554","AMS","Global ecology. Sample containing about 37297 words from a book (domain: applied science)",36566,42970,37039,5931,1819,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","unknown","male","sole","adult","applied_science","high","book","UK_south","beginning","medium","mixed","cleared","written","prose","W:non_ac:nat_science"
"555","AMT","Does God exist?. Sample containing about 32246 words from a book (domain: belief and thought)",32135,36828,32545,4283,1492,"1985-1993","written_books_periodicals","---","---","---","---","---","---","unknown","unknown","male","sole","adult","belief_thought","high","book","UK_south","beginning","medium","mixed","cleared","written","prose","W:religion"
"556","AMU","Alistair MacLean's golden girl. Sample containing about 38147 words from a book (domain: imaginative)",38380,44760,38759,6001,2828,"1985-1993","written_books_periodicals","---","---","---","---","---","---","45-59","unknown","male","sole","adult","imaginative","medium","book","UK_south","middle","medium","mixed","cleared","written","fiction","W:fict:prose"
"557","AMW","HCI club holidays. Sample containing about 26799 words of miscellanea (domain: leisure)",26803,30432,27041,3391,1885,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","leisure","low","misc_published","unknown","unknown","high","mixed","cleared","written","misc_published","W:advert"
"558","AMX","McDonald's food: the facts. Sample containing about 2608 words of miscellanea (domain: natural sciences)",2596,2969,2638,331,184,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","natural_science","low","misc_published","unknown","whole","medium","mixed","unclaimed","written","misc_published","W:misc"
"559","AMY","Henley Golf Club -- the first 80 years. Sample containing about 33003 words of miscellanea (domain: world affairs)",32927,37789,33223,4566,1469,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","corporate","adult","world_affairs","low","misc_published","UK_south","whole","low","mixed","cleared","written","prose","W:non_ac:humanities_arts"
"560","AN0","The intelligence game. Sample containing about 36159 words from a book (domain: world affairs)",36110,39522,36451,3071,1454,"1985-1993","written_books_periodicals","---","---","---","---","---","---","35-44","unknown","male","sole","adult","world_affairs","high","book","UK_south","beginning","high","mixed","cleared","written","prose","W:non_ac:polit_law_edu"
"561","AN1","LM potencies. Sample containing about 15731 words of miscellanea (domain: applied science)",15675,17295,15822,1473,700,"1985-1993","written_misc","---","---","---","---","---","---","unknown","unknown","unknown","multiple","adult","applied_science","high","misc_published","UK_south","whole","low","mixed","cleared","written","prose","W:non_ac:medicine"
