Word,SemD,cosMean,WordCount,nContexts
clog,1.568605711,0.027001898,105,92
clogged,1.561773798,0.027430025,133,126
clogging,1.392964922,0.040460857,70,61
clogs,1.458061481,0.034828801,75,70
cloister,1.063921342,0.086313486,88,78
cloisters,1.049459514,0.08923608,91,77
clone,1.083233013,0.082559487,354,206
cloned,0.836084326,0.145853103,170,113
clones,1.095854041,0.080194754,379,162
cloning,0.880180761,0.131770817,136,90
close,1.992195579,0.010181328,19648,15540
closed,1.763515164,0.017237919,8835,7243
closely,2.102088797,0.00790517,5214,4777
closeness,1.656547306,0.022052239,310,284
closer,1.916159206,0.012129441,4176,3769
closes,1.771039811,0.016941825,449,412
closest,1.918525353,0.012063537,1007,954
closet,1.584406748,0.026037138,202,181
closing,1.899356051,0.012607935,2352,2152
closure,1.722589191,0.018941345,1791,1257
closures,1.461831499,0.034527768,519,395
clot,1.288223858,0.051496314,95,77
cloth,1.480117965,0.033104119,1836,1328
clothe,1.512558149,0.03072146,81,78
clothed,1.581366467,0.026220051,310,296
clothes,1.538933449,0.028911229,6322,4639
clothier,0.905282614,0.124370502,72,56
clothiers,0.697359013,0.200743267,90,53
clothing,1.778439075,0.016655625,1991,1634
cloths,1.345011261,0.045184423,183,163
clotted,1.414538682,0.038500052,51,49
cloud,1.493324646,0.032112591,2053,1544
clouded,1.646557554,0.022565369,250,246
cloudless,1.276239913,0.052937093,81,78
clouds,1.356033141,0.044052125,1493,1220
cloudy,1.511667748,0.03078451,214,185
clough,0.840894515,0.144246567,492,244
cloughs,0.510969921,0.30834015,60,51
clout,1.734470054,0.018430196,181,173
clove,0.672966914,0.212340622,147,106
clover,1.33145167,0.04661743,195,121
cloves,0.551031543,0.281169661,158,102
clowes,0.920056915,0.120210688,153,44
clown,1.472217491,0.033711844,305,228
clowning,1.300698473,0.050038183,51,48
clowns,1.413166268,0.038621909,155,101
cloying,1.505539224,0.031222004,60,58
club,1.407852481,0.039097368,14324,6700
clubbed,1.805525402,0.015648568,56,55
clubhouse,0.775872971,0.167543286,213,158
clubs,1.234487918,0.058278999,4438,2765
clue,1.775816667,0.016756501,860,804
clues,1.739355371,0.018224039,767,659
clump,1.292068784,0.051042415,196,171
clumps,1.155853579,0.069846785,246,209
clumsily,1.485331152,0.032709119,143,142
clumsy,1.649403551,0.022417979,426,416
clung,1.397954133,0.039998699,576,545
cluster,1.670631867,0.021348538,872,585
clustered,1.556783604,0.027747023,265,257
clustering,1.359627544,0.043689035,215,130
clusters,1.595953844,0.025353981,623,404
clutch,1.507452419,0.031084764,441,380
clutched,1.24402733,0.057012839,386,373
clutches,1.650395967,0.022366809,125,118
clutching,1.433534847,0.036852347,647,617
clutter,1.475244295,0.033477707,148,136
